 >TARCYLCAP  cylinder with end-caps: Length= 97.3000 Diameter= 17.6000
     27008 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -49.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    502  17  -3  -7 1 1 1
    503  18  -3  -7 1 1 1
    504  19  -3  -7 1 1 1
    505  20  -3  -7 1 1 1
    506  21  -3  -7 1 1 1
    507  22  -3  -7 1 1 1
    508  23  -3  -7 1 1 1
    509  24  -3  -7 1 1 1
    510  25  -3  -7 1 1 1
    511  26  -3  -7 1 1 1
    512  27  -3  -7 1 1 1
    513  28  -3  -7 1 1 1
    514  29  -3  -7 1 1 1
    515  30  -3  -7 1 1 1
    516  31  -3  -7 1 1 1
    517  32  -3  -7 1 1 1
    518  33  -3  -7 1 1 1
    519  34  -3  -7 1 1 1
    520  35  -3  -7 1 1 1
    521  36  -3  -7 1 1 1
    522  37  -3  -7 1 1 1
    523  38  -3  -7 1 1 1
    524  39  -3  -7 1 1 1
    525  40  -3  -7 1 1 1
    526  41  -3  -7 1 1 1
    527  42  -3  -7 1 1 1
    528  43  -3  -7 1 1 1
    529  44  -3  -7 1 1 1
    530  45  -3  -7 1 1 1
    531  46  -3  -7 1 1 1
    532  47  -3  -7 1 1 1
    533  48  -3  -7 1 1 1
    534  49  -3  -7 1 1 1
    535  50  -3  -7 1 1 1
    536  51  -3  -7 1 1 1
    537  52  -3  -7 1 1 1
    538  53  -3  -7 1 1 1
    539  54  -3  -7 1 1 1
    540  55  -3  -7 1 1 1
    541  56  -3  -7 1 1 1
    542  57  -3  -7 1 1 1
    543  58  -3  -7 1 1 1
    544  59  -3  -7 1 1 1
    545  60  -3  -7 1 1 1
    546  61  -3  -7 1 1 1
    547  62  -3  -7 1 1 1
    548  63  -3  -7 1 1 1
    549  64  -3  -7 1 1 1
    550  65  -3  -7 1 1 1
    551  66  -3  -7 1 1 1
    552  67  -3  -7 1 1 1
    553  68  -3  -7 1 1 1
    554  69  -3  -7 1 1 1
    555  70  -3  -7 1 1 1
    556  71  -3  -7 1 1 1
    557  72  -3  -7 1 1 1
    558  73  -3  -7 1 1 1
    559  74  -3  -7 1 1 1
    560  75  -3  -7 1 1 1
    561  76  -3  -7 1 1 1
    562  77  -3  -7 1 1 1
    563  78  -3  -7 1 1 1
    564  79  -3  -7 1 1 1
    565  80  -3  -7 1 1 1
    566  81  -3  -7 1 1 1
    567  82  -3  -7 1 1 1
    568  83  -3  -7 1 1 1
    569  84  -3  -7 1 1 1
    570  85  -3  -7 1 1 1
    571  86  -3  -7 1 1 1
    572  87  -3  -7 1 1 1
    573  88  -3  -7 1 1 1
    574  89  -3  -7 1 1 1
    575  90  -3  -7 1 1 1
    576  91  -3  -7 1 1 1
    577  92  -3  -7 1 1 1
    578  93  -3  -7 1 1 1
    579  94  -3  -7 1 1 1
    580  95  -3  -7 1 1 1
    581  96  -3  -7 1 1 1
    582  97  -3  -7 1 1 1
    583   1  -2  -7 1 1 1
    584   2  -2  -7 1 1 1
    585   3  -2  -7 1 1 1
    586   4  -2  -7 1 1 1
    587   5  -2  -7 1 1 1
    588   6  -2  -7 1 1 1
    589   7  -2  -7 1 1 1
    590   8  -2  -7 1 1 1
    591   9  -2  -7 1 1 1
    592  10  -2  -7 1 1 1
    593  11  -2  -7 1 1 1
    594  12  -2  -7 1 1 1
    595  13  -2  -7 1 1 1
    596  14  -2  -7 1 1 1
    597  15  -2  -7 1 1 1
    598  16  -2  -7 1 1 1
    599  17  -2  -7 1 1 1
    600  18  -2  -7 1 1 1
    601  19  -2  -7 1 1 1
    602  20  -2  -7 1 1 1
    603  21  -2  -7 1 1 1
    604  22  -2  -7 1 1 1
    605  23  -2  -7 1 1 1
    606  24  -2  -7 1 1 1
    607  25  -2  -7 1 1 1
    608  26  -2  -7 1 1 1
    609  27  -2  -7 1 1 1
    610  28  -2  -7 1 1 1
    611  29  -2  -7 1 1 1
    612  30  -2  -7 1 1 1
    613  31  -2  -7 1 1 1
    614  32  -2  -7 1 1 1
    615  33  -2  -7 1 1 1
    616  34  -2  -7 1 1 1
    617  35  -2  -7 1 1 1
    618  36  -2  -7 1 1 1
    619  37  -2  -7 1 1 1
    620  38  -2  -7 1 1 1
    621  39  -2  -7 1 1 1
    622  40  -2  -7 1 1 1
    623  41  -2  -7 1 1 1
    624  42  -2  -7 1 1 1
    625  43  -2  -7 1 1 1
    626  44  -2  -7 1 1 1
    627  45  -2  -7 1 1 1
    628  46  -2  -7 1 1 1
    629  47  -2  -7 1 1 1
    630  48  -2  -7 1 1 1
    631  49  -2  -7 1 1 1
    632  50  -2  -7 1 1 1
    633  51  -2  -7 1 1 1
    634  52  -2  -7 1 1 1
    635  53  -2  -7 1 1 1
    636  54  -2  -7 1 1 1
    637  55  -2  -7 1 1 1
    638  56  -2  -7 1 1 1
    639  57  -2  -7 1 1 1
    640  58  -2  -7 1 1 1
    641  59  -2  -7 1 1 1
    642  60  -2  -7 1 1 1
    643  61  -2  -7 1 1 1
    644  62  -2  -7 1 1 1
    645  63  -2  -7 1 1 1
    646  64  -2  -7 1 1 1
    647  65  -2  -7 1 1 1
    648  66  -2  -7 1 1 1
    649  67  -2  -7 1 1 1
    650  68  -2  -7 1 1 1
    651  69  -2  -7 1 1 1
    652  70  -2  -7 1 1 1
    653  71  -2  -7 1 1 1
    654  72  -2  -7 1 1 1
    655  73  -2  -7 1 1 1
    656  74  -2  -7 1 1 1
    657  75  -2  -7 1 1 1
    658  76  -2  -7 1 1 1
    659  77  -2  -7 1 1 1
    660  78  -2  -7 1 1 1
    661  79  -2  -7 1 1 1
    662  80  -2  -7 1 1 1
    663  81  -2  -7 1 1 1
    664  82  -2  -7 1 1 1
    665  83  -2  -7 1 1 1
    666  84  -2  -7 1 1 1
    667  85  -2  -7 1 1 1
    668  86  -2  -7 1 1 1
    669  87  -2  -7 1 1 1
    670  88  -2  -7 1 1 1
    671  89  -2  -7 1 1 1
    672  90  -2  -7 1 1 1
    673  91  -2  -7 1 1 1
    674  92  -2  -7 1 1 1
    675  93  -2  -7 1 1 1
    676  94  -2  -7 1 1 1
    677  95  -2  -7 1 1 1
    678  96  -2  -7 1 1 1
    679  97  -2  -7 1 1 1
    680   1  -1  -7 1 1 1
